channel,median_error_cells64,median_max_probability,median_effective_support_cells,mean_coordinate_loss,mean_unweighted_deadzone_loss,coordinate_gradient_l2,weighted_deadzone_gradient_l2,deadzone_to_coordinate_norm_ratio,coordinate_deadzone_cosine,coordinate_descent_multiplier,harmful_cancellation_fraction,seed,gate_eval_median_error_cells64,failed_coordinate_gate,saturated
0,0.028615093353762396,0.3117808663499443,52.84921713433591,4.6797297167842496e-07,0.798313505709209,6.820176524975136e-05,1.1131627802506427e-05,0.16321612441764488,0.3782681351225816,1.061739459005398,0.0,44,0.04904043674468994,False,False
1,0.017360504595804856,0.44424652808558185,3.430572253601659,7.624979458670951e-07,0.7025528200116664,1.3782093394780661e-05,6.258750555494371e-06,0.4541219084950177,-0.5073537671091404,0.7695995389982604,0.2304004610017396,44,0.057151056826114655,False,False
2,0.022241815063739203,0.5114675010897538,2.0487357599857665,4.141062677379497e-05,2.913982576644733,4.899610958042788e-06,5.613769035963213e-06,1.145758119172324,-0.9273872268996873,-0.06256144483702308,1.062561444837023,44,0.03417660668492317,False,False
3,4.633340849269657,0.9996259415013702,1.002682099361979,0.010892682645649993,6.204845610166993,9.603200594071945e-07,2.9727659024178953e-08,0.030955990904251062,-0.8795141402058769,0.9727737682756267,0.02722623172437333,44,4.6515679359436035,True,True
4,0.010523636679723034,0.1483419454323406,41.63455253449526,5.995940506657606e-08,0.4339320629206494,2.6178803208025537e-06,2.3406308874523846e-06,0.8940939235659277,-0.7342093669878722,0.34354786635095724,0.6564521336490428,44,0.00975782796740532,False,False
5,0.0224900060972607,0.33335120903643634,37.40680047609548,2.2616528943619293e-07,0.16476655569629362,1.7266236675412267e-05,1.675239670721672e-06,0.09702401873752099,0.45846136046023706,1.0444817636277235,0.0,44,0.07479439675807953,False,False
6,5.420021942682702,0.6437666247534439,1.873260775454821,0.014654210716357663,1.7600059630665315,1.019166823241567e-05,1.0147820556421599e-05,0.995697693940369,-0.9785740153204949,0.025636109595415957,0.974363890404584,44,5.493546009063721,True,False
7,0.02971416120763988,0.18335816226843274,34.65449792829684,5.729816532823953e-07,0.19120408842582454,3.469113590949384e-05,1.15045399169437e-06,0.033162765113711024,0.26925446555820254,1.0089292225971245,0.0,44,0.04209062457084656,False,False
8,0.040477188355587404,0.30061310554204,35.24128802558003,7.741611910844347e-07,0.049947925340710395,5.807450614530761e-05,1.092896361269786e-06,0.018818866208440265,0.5396617229621623,1.0101558217622413,0.0,44,0.18905793130397797,False,False
9,1.38400221539852,0.999831491390754,1.001356396775876,0.001957521321865563,4.868635546853428,1.1173384676800637e-06,3.265969330187443e-06,2.92299014547364,-0.21653154123733998,0.3670804387790363,0.6329195612209637,44,1.4434235095977783,True,True
