cluster,citation,id,title,year,authors,what_they_assume
E. Symmetry / generator discovery,Zhou et al. 2020,arXiv:2007.02933,Meta-learning symmetries by reparameterization,2020,"Zhou, Knowles, Finn",DISCOVERS equivariance structure (weight-sharing) from data across tasks; not keypoint/spatial.
E. Symmetry / generator discovery,Dehmamy et al. 2021,arXiv:2109.07103,Automatic symmetry discovery with Lie algebra convolutional network (L-conv),2021,"Dehmamy, Walters, Liu, Wang","Discovers Lie-algebra generators from data; operates on features, needs full representation."
E. Symmetry / generator discovery,Yang et al. 2023,arXiv:2302.00236,Generative adversarial symmetry discovery (LieGAN),2023,"Yang, Walters, Dehmamy, Yu",Discovers symmetry group generators via GAN; GENERATIVE (needs to model full data distribution).
E. Symmetry / generator discovery,Keurti et al. 2022,arXiv:2207.12067,Homomorphism autoencoder — learning group structured representations,2022,"Keurti, Pan, Besserve, Grewe","Learns group-structured latent from action sequences; RECONSTRUCTION autoencoder, latent not keypoints."
F. Lab-adjacent anchors,Yu 2026 (ToI),(manuscript),The art of making problems simple: a theory of intelligence,2026,Yu,"Theory: intelligence = building representational normal forms via generator discovery + quotienting. Demo uses KNOWN TDW transforms, latent orbit-pooling, not keypoints."
F. Lab-adjacent anchors,Liebenow et al. 2026 (Paul),(CCN abstract),Geometric regularization of representation spaces enables efficient application of cognitive operators,2026,"Liebenow, German, Bauer, Yu","VAE latent + curvature regularization for locally-linear operators on mental rotation (SO(3)); reconstruction-based, latent not keypoints."
F. Lab-adjacent anchors,van der Pol et al. 2020,(AAMAS),Plannable approximations to MDP homomorphisms: equivariance under actions,2020,"van der Pol, Kipf, Oliehoek, Welling","Learns action-equivariant latent (MDP homomorphism); RL abstraction, latent not spatial keypoints."
G. Emergent localized units,Bau et al. 2017,arXiv:1704.05796,Network Dissection: Quantifying Interpretability of Deep Visual Representations,2017,"Bau, Zhou, Khosla, Oliva, Torralba","Localized interpretable units emerge in CNNs without supervision, but only DESCRIBES emergence; no operator, no functional account of why."
G. Emergent localized units,Locatello et al. 2020,arXiv:2006.15055,Object-Centric Learning with Slot Attention,2020,"Locatello, Weissenborn, Unterthiner, Mahendran, Heigold, Uszkoreit, Dosovitskiy, Kipf","Object-centric slots emerge from a reconstruction/attention bottleneck; no transformation operator, no operator-legibility account."
G. Emergent localized units,Caron et al. 2021,arXiv:2104.14294,Emerging Properties in Self-Supervised Vision Transformers (DINO),2021,"Caron, Touvron, Misra, Jegou, Mairal, Bojanowski, Joulin","Localized semantic attention emerges in self-supervised ViTs; emergence observed, not explained via operator simplicity."
H. Irrep / frequency selection,Koyama et al. 2023 (NFT),arXiv:2305.18484,Neural Fourier Transform: A General Approach to Equivariant Representation Learning,2023,"Koyama, Fukumizu, Hayashi, Miyato",Linearizing reps admit many harmonics; capacity-limited latents select dominant irreps GIVEN a fixed invariant kernel. Closest prior art to the irrep-selection claim; does NOT address physical k=1 pinning of keypoints or keypoint-vs-latent comparison.
D. Koopman / linearizing operators,Ruiz-Morales et al. 2026,arXiv:2511.09783,Koopman Invariants as Drivers of Emergent Time-Series Clustering in JEPAs,2026,"Ruiz-Morales, Vanoost, Pissoort, Verbeke","A near-identity LINEAR predictor forces the encoder to learn Koopman invariants. Same MECHANISM as this work (linear-predictability selects structured latents) but time-series, not pixels; no keypoints; no irrep-selection. Pedigree, not scoop."
A. Unsupervised landmarks,Hedlin et al. 2024 [verify],arXiv:2312.00065,Unsupervised Keypoints from Pretrained Diffusion Models,2024,"Hedlin, Sharma, Mahajan, He, Isack, Kar, Rhodin, Tagliasacchi, Yi","Modern keypoint correspondence now comes from frozen diffusion/DINO features, not bespoke CNNs. Field-maturity marker: compete on MECHANISM, not localization. NOTE: ID not re-verified this session (arXiv timeout)."
I. Estimator / methods notes,Fang et al. 2022 (AlphaPose),arXiv:2211.03375,AlphaPose: Whole-Body Regional Multi-Person Pose Estimation and Tracking in Real-Time,2022,"Fang, Li, Tang, Xu, Zhu, et al.","Documents soft-argmax estimator bias (asymmetric-gradient, size-dependent scoring) — candidate cause of operator singular values <1 and the small angle bias. Estimator pathology, not objective-level degeneracy."
